energy,nue_bar
0.00005,0.424938
0.00015,1.15246
0.00025,1.61253
0.00035,2.02473
0.00045,2.45266
0.00055,2.59095
0.00065,2.54777
0.00075,2.52662
0.00085,2.57483
0.00095,2.46281
0.00105,2.29588
0.00115,2.17052
0.00125,1.94669
0.00135,1.82435
0.00145,1.7725
0.00155,1.7132
0.00165,1.63713
0.00175,1.54563
0.00185,1.44412
0.00195,1.34181
0.00205,1.26021
0.00215,1.16722
0.00225,1.07544
0.00235,0.987678
0.00245,0.921126
0.00255,0.864123
0.00265,0.801808
0.00275,0.750865
0.00285,0.705781
0.00295,0.652678
0.00305,0.615078
0.00315,0.577726
0.00325,0.53642
0.00335,0.499987
0.00345,0.457404
0.00355,0.4195
0.00365,0.385933
0.00375,0.356798
0.00385,0.328566
0.00395,0.300822
0.00405,0.270242
0.00415,0.245706
0.00425,0.220912
0.00435,0.200201
0.00445,0.180372
0.00455,0.157712
0.00465,0.141361
0.00475,0.128638
0.00485,0.117313
0.00495,0.106447
0.00505,0.0963736
0.00515,0.0867052
0.00525,0.0774247
0.00535,0.0677888
0.00545,0.0601829
0.00555,0.0532444
0.00565,0.0466968
0.00575,0.0414133
0.00585,0.0368811
0.00595,0.0322483
0.00605,0.0284041
0.00615,0.0252441
0.00625,0.0219743
0.00635,0.0194856
0.00645,0.0170722
0.00655,0.0152355
0.00665,0.0134404
0.00675,0.0118618
0.00685,0.0105185
0.00695,0.00909927
0.00705,0.00783596
0.00715,0.00629632
0.00725,0.00544795
0.00735,0.00435199
0.00745,0.00355862
0.00755,0.00303306
0.00765,0.00258395
0.00775,0.00211776
0.00785,0.00174527
0.00795,0.00138831
0.00805,0.00102987
0.00815,0.000656087
0.00825,0.000535054
0.00835,0.000399224
0.00845,0.000235142
0.00855,0.000156689
0.00865,0.000136476
0.00875,0.0001181
0.00885,0.000101635
0.00895,0.0000758766
0.00905,0.0000619822
0.00915,0.000049688
0.00925,0.0000416113
0.00935,0.0000362661
0.00945,0.000031294
0.00955,0.0000255122
0.00965,0.0000219818
0.00975,0.0000188285
0.00985,0.0000152476
0.00995,0.0000117281
0.01005,0.0000105497
0.01015,9.21078e-6
0.01025,8.2361e-6
0.01035,7.60365e-6
0.01045,6.98252e-6
0.01055,6.39183e-6
0.01065,5.81804e-6
0.01075,5.2602e-6
0.01085,4.71471e-6
0.01095,4.18175e-6
0.01105,3.69854e-6
0.01115,3.23216e-6
0.01125,2.79145e-6
0.01135,2.38e-6
0.01145,1.99398e-6
0.01155,1.6352e-6
0.01165,1.29649e-6
0.01175,6.42808e-7
0.01185,5.57619e-7
0.01195,4.77652e-7
0.01205,4.03512e-7
0.01215,3.3341e-7
0.01225,2.56939e-7
0.01235,1.96776e-7
0.01245,1.57293e-7
0.01255,1.22039e-7
0.01265,9.09525e-8
0.01275,4.15175e-8
0.01285,3.18569e-9
0.01295,2.22695e-9
0.01305,7.32356e-10
0.01315,4.63461e-10
0.01325,3.81348e-10
0.01335,3.09084e-10
0.01345,2.34128e-10
0.01355,1.05238e-10
0.01365,7.63911e-11
0.01375,5.77166e-11
0.01385,4.21768e-11
0.01395,3.53475e-11
0.01405,2.90109e-11
0.01415,2.32326e-11
0.01425,1.76332e-11
0.01435,1.05079e-11
0.01445,1.92104e-12
0.01455,1.60215e-12
0.01465,1.23291e-12
0.01475,1.00288e-12
0.01485,8.64204e-13
0.01495,7.30704e-13
0.01505,5.92501e-13
0.01515,4.8586e-13
0.01525,3.90455e-13
0.01535,3.044e-13
0.01545,2.16687e-13
0.01555,5.54016e-14
0.01565,3.08773e-14
0.01575,2.61178e-14
0.01585,2.16409e-14
0.01595,1.74593e-14
0.01605,1.36399e-14
0.01615,9.32006e-15
0.01625,6.29513e-15
0.01635,3.44185e-15
0.01645,3.62277e-23
0.01655,3.40989e-23
0.01665,3.20049e-23
0.01675,2.99437e-23
0.01685,2.79176e-23
0.01695,2.59269e-23
0.01705,2.39694e-23
0.01715,2.20953e-23
0.01725,2.02707e-23
0.01735,1.84933e-23
0.01745,1.67655e-23
0.01755,1.50995e-23
0.01765,1.35007e-23
0.01775,1.19629e-23
0.01785,1.04891e-23
0.01795,9.08217e-24
0.01805,7.75761e-24
0.01815,6.52109e-24
0.01825,5.36344e-24
0.01835,4.28751e-24
0.01845,3.29595e-24
0.01855,2.40574e-24
0.01865,1.65176e-24
0.01875,6.88156e-25
0.01885,0
0.01895,0
0.01905,0
0.01915,0
0.01925,0
0.01935,0
0.01945,0
0.01955,0
0.01965,0
0.01975,0
0.01985,0
