energy,nue_bar
0.00005,0.806654
0.00015,1.93084
0.00025,2.35693
0.00035,2.67638
0.00045,2.83076
0.00055,2.96575
0.00065,2.89888
0.00075,2.77831
0.00085,2.83101
0.00095,2.69471
0.00105,2.55028
0.00115,2.4404
0.00125,2.23075
0.00135,2.07984
0.00145,2.03162
0.00155,1.94055
0.00165,1.86822
0.00175,1.77458
0.00185,1.6745
0.00195,1.57325
0.00205,1.50006
0.00215,1.40667
0.00225,1.31821
0.00235,1.23799
0.00245,1.16904
0.00255,1.11119
0.00265,1.04604
0.00275,0.993642
0.00285,0.94423
0.00295,0.886161
0.00305,0.840184
0.00315,0.798166
0.00325,0.749896
0.00335,0.706902
0.00345,0.656369
0.00355,0.610417
0.00365,0.567387
0.00375,0.531167
0.00385,0.496218
0.00395,0.460369
0.00405,0.420645
0.00415,0.388716
0.00425,0.356409
0.00435,0.328787
0.00445,0.300881
0.00455,0.27155
0.00465,0.246489
0.00475,0.226847
0.00485,0.208935
0.00495,0.191347
0.00505,0.174983
0.00515,0.15923
0.00525,0.143548
0.00535,0.128339
0.00545,0.115165
0.00555,0.103561
0.00565,0.0922274
0.00575,0.0831037
0.00585,0.0749512
0.00595,0.0669365
0.00605,0.0600687
0.00615,0.0539711
0.00625,0.0481304
0.00635,0.0433258
0.00645,0.038801
0.00655,0.0349244
0.00665,0.0312314
0.00675,0.0278622
0.00685,0.0249408
0.00695,0.0217964
0.00705,0.0191068
0.00715,0.0160393
0.00725,0.0141359
0.00735,0.0119205
0.00745,0.0100826
0.00755,0.00869629
0.00765,0.00752655
0.00775,0.00629344
0.00785,0.00529772
0.00795,0.00437444
0.00805,0.00347723
0.00815,0.00253939
0.00825,0.00218233
0.00835,0.00184939
0.00845,0.00149481
0.00855,0.0011828
0.00865,0.00105456
0.00875,0.000932433
0.00885,0.000818305
0.00895,0.000667809
0.00905,0.000558965
0.00915,0.000476918
0.00925,0.00041133
0.00935,0.000357173
0.00945,0.000306985
0.00955,0.000247957
0.00965,0.000214475
0.00975,0.000184161
0.00985,0.000149808
0.00995,0.000119033
0.01005,0.000106145
0.01015,0.0000915436
0.01025,0.0000835325
0.01035,0.0000767667
0.01045,0.0000700846
0.01055,0.0000638665
0.01065,0.0000579103
0.01075,0.0000521438
0.01085,0.0000464861
0.01095,0.0000409255
0.01105,0.0000362095
0.01115,0.000031546
0.01125,0.0000272421
0.01135,0.0000233418
0.01145,0.0000196712
0.01155,0.0000162348
0.01165,0.0000130138
0.01175,7.1428e-6
0.01185,6.12253e-6
0.01195,5.17039e-6
0.01205,4.29037e-6
0.01215,3.43068e-6
0.01225,2.38823e-6
0.01235,1.68386e-6
0.01245,1.35341e-6
0.01255,1.05614e-6
0.01265,7.77459e-7
0.01275,3.87759e-7
0.01285,9.35847e-8
0.01295,7.09099e-8
0.01305,3.85298e-8
0.01315,2.87074e-8
0.01325,2.32401e-8
0.01335,1.86466e-8
0.01345,1.38378e-8
0.01355,5.25227e-9
0.01365,3.54296e-9
0.01375,2.68449e-9
0.01385,1.97021e-9
0.01395,1.6299e-9
0.01405,1.31581e-9
0.01415,1.03136e-9
0.01425,7.14733e-10
0.01435,3.65855e-10
0.01445,4.34951e-11
0.01455,2.81096e-11
0.01465,2.16904e-11
0.01475,1.84585e-11
0.01485,1.64207e-11
0.01495,1.43637e-11
0.01505,1.15847e-11
0.01515,1.02829e-11
0.01525,9.22223e-12
0.01535,8.19937e-12
0.01545,7.20644e-12
0.01555,6.19182e-12
0.01565,5.34134e-12
0.01575,4.55018e-12
0.01585,3.80366e-12
0.01595,3.10394e-12
0.01605,2.46188e-12
0.01615,1.84325e-12
0.01625,1.32289e-12
0.01635,7.2329e-13
0.01645,5.85935e-26
0.01655,5.28877e-26
0.01665,4.73895e-26
0.01675,4.21106e-26
0.01685,3.70632e-26
0.01695,3.22589e-26
0.01705,2.77101e-26
0.01715,2.34288e-26
0.01725,1.94265e-26
0.01735,1.5714e-26
0.01745,1.22998e-26
0.01755,9.18681e-27
0.01765,6.35636e-27
0.01775,3.38694e-27
0.01785,4.5828e-33
0.01795,3.96811e-33
0.01805,3.38939e-33
0.01815,2.84914e-33
0.01825,2.34335e-33
0.01835,1.87326e-33
0.01845,1.44004e-33
0.01855,1.0511e-33
0.01865,7.21672e-34
0.01875,3.00663e-34
0.01885,0
0.01895,0
0.01905,0
0.01915,0
0.01925,0
0.01935,0
0.01945,0
0.01955,0
0.01965,0
0.01975,0
0.01985,0
