x,y,z
0.000000,0.000000,1.000000
0.000000,0.020000,1.020000
0.000000,0.040000,1.040000
0.000000,0.060000,1.060000
0.000000,0.080000,1.080000
0.000000,0.100000,1.100000
0.000000,0.120000,1.120000
0.000000,0.140000,1.140000
0.000000,0.160000,1.160000
0.000000,0.180000,1.180000
0.000000,0.200000,1.200000
0.000000,0.220000,1.220000
0.000000,0.240000,1.240000
0.000000,0.260000,1.260000
0.000000,0.280000,1.280000
0.000000,0.300000,1.300000
0.000000,0.320000,1.320000
0.000000,0.340000,1.340000
0.000000,0.360000,1.360000
0.000000,0.380000,1.380000
0.000000,0.400000,1.400000
0.000000,0.420000,1.420000
0.000000,0.440000,1.440000
0.000000,0.460000,1.460000
0.000000,0.480000,1.480000
0.000000,0.500000,1.500000
0.000000,0.520000,1.520000
0.000000,0.540000,1.540000
0.000000,0.560000,1.560000
0.000000,0.580000,1.580000
0.000000,0.600000,1.600000
0.000000,0.620000,1.620000
0.000000,0.640000,1.640000
0.000000,0.660000,1.660000
0.000000,0.680000,1.680000
0.000000,0.700000,1.700000
0.000000,0.720000,1.720000
0.000000,0.740000,1.740000
0.000000,0.760000,1.760000
0.000000,0.780000,1.780000
0.000000,0.800000,1.800000
0.000000,0.820000,1.820000
0.000000,0.840000,1.840000
0.000000,0.860000,1.860000
0.000000,0.880000,1.880000
0.000000,0.900000,1.900000
0.000000,0.920000,1.920000
0.000000,0.940000,1.940000
0.000000,0.960000,1.960000
0.000000,0.980000,1.980000
0.000000,1.000000,2.000000
0.010000,0.000000,1.010000
0.010000,0.020000,1.029600
0.010000,0.040000,1.049200
0.010000,0.060000,1.068800
0.010000,0.080000,1.088400
0.010000,0.100000,1.108000
0.010000,0.120000,1.127600
0.010000,0.140000,1.147200
0.010000,0.160000,1.166800
0.010000,0.180000,1.186400
0.010000,0.200000,1.206000
0.010000,0.220000,1.225600
0.010000,0.240000,1.245200
0.010000,0.260000,1.264800
0.010000,0.280000,1.284400
0.010000,0.300000,1.304000
0.010000,0.320000,1.323600
0.010000,0.340000,1.343200
0.010000,0.360000,1.362800
0.010000,0.380000,1.382400
0.010000,0.400000,1.402000
0.010000,0.420000,1.421600
0.010000,0.440000,1.441200
0.010000,0.460000,1.460800
0.010000,0.480000,1.480400
0.010000,0.500000,1.500000
0.010000,0.520000,1.519600
0.010000,0.540000,1.539200
0.010000,0.560000,1.558800
0.010000,0.580000,1.578400
0.010000,0.600000,1.598000
0.010000,0.620000,1.617600
0.010000,0.640000,1.637200
0.010000,0.660000,1.656800
0.010000,0.680000,1.676400
0.010000,0.700000,1.696000
0.010000,0.720000,1.715600
0.010000,0.740000,1.735200
0.010000,0.760000,1.754800
0.010000,0.780000,1.774400
0.010000,0.800000,1.794000
0.010000,0.820000,1.813600
0.010000,0.840000,1.833200
0.010000,0.860000,1.852800
0.010000,0.880000,1.872400
0.010000,0.900000,1.892000
0.010000,0.920000,1.911600
0.010000,0.940000,1.931200
0.010000,0.960000,1.950800
0.010000,0.980000,1.970400
0.010000,1.000000,1.990000
0.020000,0.000000,1.020000
0.020000,0.020000,1.039200
0.020000,0.040000,1.058400
0.020000,0.060000,1.077600
0.020000,0.080000,1.096800
0.020000,0.100000,1.116000
0.020000,0.120000,1.135200
0.020000,0.140000,1.154400
0.020000,0.160000,1.173600
0.020000,0.180000,1.192800
0.020000,0.200000,1.212000
0.020000,0.220000,1.231200
0.020000,0.240000,1.250400
0.020000,0.260000,1.269600
0.020000,0.280000,1.288800
0.020000,0.300000,1.308000
0.020000,0.320000,1.327200
0.020000,0.340000,1.346400
0.020000,0.360000,1.365600
0.020000,0.380000,1.384800
0.020000,0.400000,1.404000
0.020000,0.420000,1.423200
0.020000,0.440000,1.442400
0.020000,0.460000,1.461600
0.020000,0.480000,1.480800
0.020000,0.500000,1.500000
0.020000,0.520000,1.519200
0.020000,0.540000,1.538400
0.020000,0.560000,1.557600
0.020000,0.580000,1.576800
